date,weekday,城六区,西北部,东北部,东南部,西南部
2023/8/23,Wednesday,33.88916666666666,32.05,30.633750000000003,37.17333333333334,32.197500000000005
2023/8/24,Thursday,24.978333333333328,30.639999999999997,28.91,25.731666666666666,23.26
2023/8/25,Friday,35.68,32.032,24.2,38.083333333333336,29.9075
2023/8/26,Saturday,33.70166666666666,33.444,29.567500000000003,36.29999999999999,28.967499999999998
2023/8/27,Sunday,42.74166666666667,35.64,36.1425,51.74166666666665,29.7275
2023/8/28,Monday,30.173333333333336,31.958000000000006,27.6175,36.36666666666667,23.5425
2023/8/29,Tuesday,30.809166666666666,29.423999999999996,23.8125,31.235,26.3125
2023/8/30,Wednesday,37.56249999999999,30.365999999999996,27.286250000000003,44.046666666666674,28.970000000000002
2023/8/31,Thursday,41.63166666666667,30.082,33.02,50.946666666666665,36.519999999999996
2023/9/1,Friday,46.49916666666667,35.782000000000004,32.558749999999996,46.82666666666666,42.845
2023/9/2,Saturday,51.43416666666667,42.418,45.60875000000001,56.811666666666675,42.655
2023/9/3,Sunday,61.99250000000001,40.444,42.68125,59.98666666666667,52.582499999999996
2023/9/4,Monday,72.29833333333333,63.391999999999996,73.03,85.90166666666669,50.6175
2023/9/5,Tuesday,106.77999999999997,89.47800000000001,88.4275,116.67333333333333,71.5825
2023/9/6,Wednesday,89.23666666666666,80.592,94.9275,99.46666666666665,69.5325
2023/9/7,Thursday,81.83583333333333,74.078,88.57124999999999,96.88666666666667,66.875
2023/9/8,Friday,100.00750000000001,65.95199999999998,99.01625,126.12833333333333,61.6875
2023/9/9,Saturday,30.375833333333336,32.989999999999995,29.97375,32.905,34.144999999999996
2023/9/10,Sunday,36.15333333333333,37.54,33.558749999999996,34.85666666666667,28.74
2023/9/11,Monday,48.531666666666666,41.582,38.146249999999995,56.538333333333334,37.585
2023/9/12,Tuesday,25.763333333333332,27.851999999999997,23.46875,27.416666666666668,20.25
2023/9/13,Wednesday,42.318333333333335,39.391999999999996,35.667500000000004,42.071666666666665,29.904999999999998
2023/9/14,Thursday,55.18333333333334,49.298,51.49625,50.901666666666664,42.355000000000004
2023/9/15,Friday,64.30833333333335,55.94200000000001,63.11375,64.26833333333333,46.417500000000004
2023/9/16,Saturday,79.69333333333333,65.64,68.69625000000002,89.62333333333333,55.2175
2023/9/17,Sunday,83.82333333333332,66.518,72.20750000000001,84.08333333333333,58.010000000000005
2023/9/18,Monday,44.76666666666666,34.866,34.08875,47.73,43.315
2023/9/19,Tuesday,25.655,25.974,23.25875,33.245,21.154999999999998
2023/9/20,Wednesday,27.44333333333333,27.365999999999996,21.42,32.15333333333333,21.9775
2023/9/21,Thursday,45.02916666666667,37.24999999999999,37.4675,53.303333333333335,31.144999999999996
2023/9/22,Friday,32.09083333333333,30.874000000000002,27.96375,36.54833333333333,28.79
2023/9/23,Saturday,37.10666666666666,36.516000000000005,28.208749999999995,39.02833333333333,28.915
2023/9/24,Sunday,50.23500000000001,41.166,37.12625,46.800000000000004,34.25
2023/9/25,Monday,50.659166666666664,41.818,39.19875,52.05666666666667,30.509999999999998
2023/9/26,Tuesday,70.37166666666667,52.102,60.927499999999995,84.26333333333334,45.697500000000005
2023/9/27,Wednesday,60.705833333333324,39.384,51.61,71.42833333333333,43.0625
2023/9/28,Thursday,30.903333333333332,30.223999999999997,26.582499999999996,38.348333333333336,24.697499999999998
2023/9/29,Friday,41.83,36.1,42.52125,62.69333333333333,30.165
2023/9/30,Saturday,21.98,27.29,21.386249999999997,25.013333333333335,18.085
2023/10/1,Sunday,30.009166666666662,30.108000000000004,23.287499999999994,32.835,21.9375
2023/10/2,Monday,50.86666666666667,41.992,44.84625,62.48499999999999,33.82
2023/10/3,Tuesday,56.21583333333334,49.658,59.45375000000001,55.63999999999999,39.6125
2023/10/4,Wednesday,19.916666666666664,27.948,30.13875,28.631666666666664,17.75
2023/10/5,Thursday,25.139166666666664,28.868000000000002,22.85,28.625,21.509999999999998
2023/10/6,Friday,37.031666666666666,34.744,30.071250000000003,43.99166666666667,25.502499999999998
2023/10/7,Saturday,58.794999999999995,49.236000000000004,57.08625,75.32000000000001,40.792500000000004
2023/10/8,Sunday,44.5825,34.2,49.53124999999999,58.75666666666667,35.644999999999996
2023/10/9,Monday,22.713333333333328,26.142000000000003,20.45125,26.885,19.23
2023/10/10,Tuesday,29.209166666666672,32.45,27.395000000000003,30.748333333333335,22.625
2023/10/11,Wednesday,53.06,42.384,47.697500000000005,59.28333333333333,36.44
2023/10/12,Thursday,100.005,69.29,78.985,101.77000000000002,67.3025
2023/10/13,Friday,63.603333333333346,45.64999999999999,57.45374999999999,70.09666666666668,45.792500000000004
2023/10/14,Saturday,26.554166666666664,26.194,22.24375,29.161666666666665,23.220000000000002
2023/10/15,Sunday,32.232499999999995,30.3,23.36375,34.75000000000001,25.970000000000002
2023/10/16,Monday,36.62416666666666,33.168,30.740000000000002,43.068333333333335,29.8525
2023/10/17,Tuesday,61.35833333333332,54.484,53.9575,64.07000000000001,46.342499999999994
2023/10/18,Wednesday,30.383333333333336,30.357999999999997,40.39125,35.97666666666666,23.755000000000003
2023/10/19,Thursday,20.520833333333332,29.6,20.89625,25.7,18.46
2023/10/20,Friday,25.315833333333334,26.648000000000003,22.00625,21.94666666666667,21.4025
2023/10/21,Saturday,39.964999999999996,34.734,31.842499999999994,40.74333333333333,31.042500000000004
2023/10/22,Sunday,53.65083333333333,48.239999999999995,42.9325,55.50666666666666,40.7825
2023/10/23,Monday,117.28916666666667,80.122,104.48625,142.59833333333333,73.86500000000001
2023/10/24,Tuesday,159.35583333333332,100.726,143.12,171.7733333333333,101.7925
2023/10/25,Wednesday,102.94666666666667,56.11,89.335,129.74333333333334,60.37500000000001
2023/10/26,Thursday,42.388333333333335,41.483999999999995,38.0975,42.220000000000006,38.3425
2023/10/27,Friday,67.72166666666666,56.772000000000006,55.291250000000005,62.77,50.695
2023/10/28,Saturday,100.20833333333333,72.152,83.875,115.02166666666666,67.6375
2023/10/29,Sunday,181.32666666666668,148.178,160.05124999999998,175.74166666666667,141.5925
2023/10/30,Monday,154.9533333333333,101.934,145.35875000000001,153.64833333333334,119.195
2023/10/31,Tuesday,114.95333333333332,99.58399999999999,107.85875,119.8,99.3025
2023/11/1,Wednesday,177.87583333333336,115.768,166.03750000000002,187.11833333333334,130.7625
2023/11/2,Thursday,118.67166666666667,112.21,106.38375,117.54666666666667,115.94750000000002
2023/11/3,Friday,35.33333333333333,40.31000000000001,32.5775,37.72833333333333,29.625
2023/11/4,Saturday,64.37,61.724000000000004,59.77,64,53.019999999999996
2023/11/5,Sunday,45.910833333333336,46.324,40.57875,44.79833333333334,37.332499999999996
2023/11/6,Monday,42.18,39.60000000000001,48.35,45.958333333333336,35.432500000000005
2023/11/7,Tuesday,41.67083333333334,40.05,35.098749999999995,42.045,38.447500000000005
2023/11/8,Wednesday,59.18416666666667,50.858000000000004,47.86,60.34833333333333,48.7725
2023/11/9,Thursday,23.695833333333336,26.618000000000002,24.23375,31.156666666666666,23.81
2023/11/10,Friday,19.285,27.427999999999997,20.0825,19.426666666666666,17.94
2023/11/11,Saturday,21.040000000000003,25.958,20.052500000000002,27.035,25.9975
2023/11/12,Sunday,20.21916666666667,25.791999999999994,17.91125,21.52333333333333,17.865000000000002
2023/11/13,Monday,45.23916666666667,33.884,26.473750000000003,43.169999999999995,43.4
2023/11/14,Tuesday,67.56833333333334,50.019999999999996,39.59375,80.36166666666666,50.559999999999995
2023/11/15,Wednesday,73.8,62.593999999999994,61.07875,116.12,60.58250000000001
2023/11/16,Thursday,29.104166666666668,29.341999999999995,27.50375,38.11833333333333,28.085
2023/11/17,Friday,19.801666666666666,26.101999999999997,20.144999999999996,24.513333333333332,19.71
2023/11/18,Saturday,46.31666666666667,38.5,32.568749999999994,46.035000000000004,41.2375
2023/11/19,Sunday,61.27666666666667,58.907999999999994,38.65125,56.62333333333333,51.27
2023/11/20,Monday,96.22416666666668,73.828,72.02875,101.43666666666667,78.3125
2023/11/21,Tuesday,154.57999999999996,114.73599999999999,143.9325,175.70666666666668,116.88499999999999
2023/11/22,Wednesday,125.06666666666665,90.486,118.9575,150.9283333333333,116.70750000000001
2023/11/23,Thursday,31.49333333333333,28.491999999999997,21.638749999999998,40.98500000000001,26.537499999999998
2023/11/24,Friday,29.280000000000005,29.366000000000003,19.8225,27.78,27.8125
2023/11/25,Saturday,58.203333333333326,48.21,42.532500000000006,64.91,45.24250000000001
2023/11/26,Sunday,67.35666666666667,61.168000000000006,57.61,74.17333333333333,53.87499999999999
2023/11/27,Monday,49.72583333333333,46.806,43.5625,53.99,43.2175
2023/11/28,Tuesday,31.08333333333334,30.597999999999995,27.228750000000005,31.680000000000003,24.229999999999997
2023/11/29,Wednesday,23.436666666666664,29.310000000000002,20.575000000000003,25.914999999999996,20.4075
2023/11/30,Thursday,22.10416666666667,28.703999999999997,19.921249999999997,23.943333333333328,26.835
2023/12/1,Friday,44.32,34.868,29.005000000000003,35.97666666666667,40.78
2023/12/2,Saturday,53.215,43.426,41.82875,58.31166666666666,46.199999999999996
2023/12/3,Sunday,63.45166666666666,47.4,43.22,82.52166666666666,49.71
2023/12/4,Monday,82.94416666666667,71.06,83.4575,108.34833333333334,61.49250000000001
2023/12/5,Tuesday,102.90499999999999,77.958,93.83,149.48666666666665,76.44
2023/12/6,Wednesday,117.64666666666669,120.624,104.52624999999999,126.5,102.615
2023/12/7,Thursday,195.8175,116.08400000000002,163.0275,212.25,123.79250000000002
2023/12/8,Friday,159.46916666666667,98.694,133.58999999999997,166.64000000000001,116.39500000000001
2023/12/9,Saturday,83.06166666666667,69.77400000000002,82.73500000000001,98.945,69.75
2023/12/10,Sunday,51.60666666666666,56.596000000000004,62.10875,49.074999999999996,38.365
2023/12/11,Monday,45.49583333333334,43.291999999999994,33.955,39.74333333333333,37.2275
2023/12/12,Tuesday,84.3275,65.132,64.625,81.80000000000001,68.23
2023/12/13,Wednesday,107.4541666666667,81.366,109.77749999999999,111.10166666666667,80.905
2023/12/14,Thursday,74.41666666666667,75.318,69.155,71.19666666666667,65.535
2023/12/15,Friday,21.805833333333336,31.591999999999995,20.230000000000004,25.436666666666667,20.927500000000002
2023/12/16,Saturday,20.634999999999998,27.726,19.57375,20.40833333333333,18.4175
2023/12/17,Sunday,32.549166666666665,34.492000000000004,26.245000000000005,33.77,27.355
2023/12/18,Monday,72.815,56.874,60.644999999999996,94.54166666666667,52.485
2023/12/19,Tuesday,40.660000000000004,39.327999999999996,44.1975,51.099999999999994,37.935
2023/12/20,Wednesday,20.233333333333334,27.865999999999996,20.15,19.506666666666668,17.405
2023/12/21,Thursday,24.055833333333336,27.99,20.62625,24.289999999999996,20.4775
2023/12/22,Friday,39.86749999999999,41.842,24.4625,40.33166666666667,32.28
2023/12/23,Saturday,47.84416666666667,46.940000000000005,26.823749999999997,49.38333333333333,39.7925
2023/12/24,Sunday,56.01,50.732000000000006,31.140000000000004,56.99333333333333,44.8125
2023/12/25,Monday,79.28083333333335,58.15200000000001,45.363749999999996,97.05333333333333,60.1575
2023/12/26,Tuesday,57.665,59.008,46.097500000000004,85.37,50.74
2023/12/27,Wednesday,45.58833333333334,44.576,40.55125,47.49166666666667,32.615
2023/12/28,Thursday,68.91333333333333,70.962,48.98375,68.64666666666666,48.769999999999996
2023/12/29,Friday,140.54333333333332,91.598,84.42125,182.9416666666667,99.42999999999999
2023/12/30,Saturday,189.9333333333333,100.494,118.61999999999999,222.05000000000004,123.72999999999999
2023/12/31,Sunday,27.253333333333334,32.492,32.37375,30.540000000000003,26.435000000000002
2024/1/1,Monday,103.50666666666666,57.19749999999999,83.1975,130.1166666666667,97.32
2024/1/2,Tuesday,104.17416666666664,70.325,79.94749999999999,143.68166666666667,106.37333333333333
2024/1/3,Wednesday,38.625,27.962500000000002,28.9825,39.485,43.419999999999995
2024/1/4,Thursday,72.59,42.082499999999996,65.81375,100.98,66.12666666666667
2024/1/5,Friday,45.36416666666667,39.4875,31.68,45.11833333333334,52.413333333333334
2024/1/6,Saturday,19.058333333333334,18.585,21.005000000000003,24.486666666666668,19.223333333333333
2024/1/7,Sunday,28.283333333333328,25.0925,21.6,25.2,29.526666666666667
2024/1/8,Monday,64.20916666666666,55.185,53.51500000000001,65.85666666666667,61.803333333333335
2024/1/9,Tuesday,49.26333333333332,44.51,41.46375,54.715,51.82
2024/1/10,Wednesday,54.69833333333332,35.25,31.917500000000004,63.99166666666667,54.876666666666665
2024/1/11,Thursday,92.47583333333334,55.415,77.0475,116.58999999999999,80.72333333333334
2024/1/12,Friday,121.17833333333336,63.355,76.99000000000001,157.25833333333333,98.96
2024/1/13,Saturday,79.30416666666667,74.3825,66.9325,87.84166666666665,91.76666666666667
2024/1/14,Sunday,25.64333333333333,23.415,25.845000000000002,29.986666666666665,28.44666666666667
2024/1/15,Monday,42.00666666666667,37.292500000000004,27.724999999999998,45.715,39.53
2024/1/16,Tuesday,80.00333333333333,61.635000000000005,69.15125,92.53333333333335,76.49666666666667
2024/1/17,Wednesday,123.09833333333334,106.0225,116.85,116.16000000000001,117.21
2024/1/18,Thursday,98.02000000000002,100.66749999999999,97.2725,101.64,94.68
2024/1/19,Friday,65.48333333333333,82.155,63.69875,60.58666666666667,66.57666666666667
2024/1/20,Saturday,58.10166666666667,48.927499999999995,49.04,53.416666666666664,62.413333333333334
2024/1/21,Sunday,23.368333333333336,19.447499999999998,21.70375,27.55666666666667,26.14
2024/1/22,Monday,20.25,19.677500000000002,20.264999999999997,18.401666666666667,21.25
2024/1/23,Tuesday,20.62416666666667,20.9075,21.095,20.25,23.100000000000005
2024/1/24,Wednesday,30.210833333333337,26.075000000000003,24.0625,26.425,36.36666666666667
2024/1/25,Thursday,31.050000000000008,26.8025,23.325000000000003,30.741666666666664,37.03
2024/1/26,Friday,39.49666666666666,41.3225,30.946249999999996,37.504999999999995,45.673333333333325
2024/1/27,Saturday,38.73916666666667,33.69,29.426249999999996,37.50666666666667,45.75
2024/1/28,Sunday,54.73,48.967499999999994,32.28,53.431666666666665,55.089999999999996
2024/1/29,Monday,93.87583333333335,90.2475,67.95875000000001,99.17333333333333,93.60333333333331
2024/1/30,Tuesday,126.26499999999999,121.925,112.83375000000001,128.12166666666664,126.36
2024/1/31,Wednesday,67.3825,62.302499999999995,62.33875,78.675,80.52999999999999
2024/2/1,Thursday,40.954166666666666,22.0225,30.552500000000002,40.11166666666667,56.84666666666667
2024/2/2,Friday,63.85583333333333,44.5325,46.68750000000001,75.515,77.64
2024/2/3,Saturday,82.74916666666667,63.83500000000001,63.005,95.315,88.84666666666668
2024/2/4,Sunday,114.56916666666666,68.50750000000001,87.25125000000001,108.90333333333335,115.44333333333334
2024/2/5,Monday,98.45833333333333,66.58500000000001,88.645,109.23833333333333,117.62333333333333
2024/2/6,Tuesday,53.74916666666666,41.365,49.32125,72.46833333333332,73.78666666666668
2024/2/7,Wednesday,29.315,25.799999999999997,26.542499999999997,29.823333333333334,38.11333333333334
2024/2/8,Thursday,32.34416666666667,32.095,26.9725,35.49,41.833333333333336
2024/2/9,Friday,55.656666666666666,54.457499999999996,37.70875,75.87666666666667,59.330000000000005
2024/2/10,Saturday,40.70083333333333,41.8875,36.3375,35.835,50.95666666666667
2024/2/11,Sunday,81.80250000000001,44.17,58.74375,96.07833333333333,77.38666666666667
2024/2/12,Monday,108.52000000000002,76.5525,104.9525,160.10333333333332,86.66333333333334
2024/2/13,Tuesday,142.8025,119.4075,153.24625,174.62,117.65000000000002
2024/2/14,Wednesday,64.47583333333333,56.095,76.87875,94.97333333333334,69.45666666666666
2024/2/15,Thursday,27.5625,25.5425,24.34375,25.168333333333333,30.886666666666667
2024/2/16,Friday,67.24666666666666,56.73,63.04375,67.91000000000001,65.96999999999998
2024/2/17,Saturday,91.43,87.02,86.0825,99.06833333333333,93.59666666666665
2024/2/18,Sunday,92.58833333333332,81.7075,89.87875,97.40666666666665,100.51333333333332
2024/2/19,Monday,35.928333333333335,31.792500000000004,26.988749999999996,34.473333333333336,47.32
2024/2/20,Tuesday,23.848333333333333,21.4875,22.740000000000002,26.951666666666668,24.820000000000004
2024/2/21,Wednesday,23.89916666666667,23.209999999999997,22.85875,23.563333333333333,33.15
2024/2/22,Thursday,21.73,22.029999999999998,23.17125,22.265,23.209999999999997
2024/2/23,Friday,37.14249999999999,28.26,27.797500000000003,43.395,34.126666666666665
2024/2/24,Saturday,65.53166666666665,45.4475,49.78124999999999,65.28333333333335,68.26333333333334
2024/2/25,Sunday,53.405833333333334,44.60249999999999,46.63,54.82333333333333,64.36
2024/2/26,Monday,79.72083333333333,63.849999999999994,70.59125,82.55833333333334,78.04
2024/2/27,Tuesday,74.3025,73.29249999999999,68.84875,67.93666666666667,79.91
2024/2/28,Wednesday,71.66666666666667,64.6425,68.4,78.26333333333334,81.76333333333332
2024/2/29,Thursday,27.680000000000003,26.0125,40.66375,44.23666666666667,32.02333333333333
2024/3/1,Friday,38.931666666666665,29.845,31.3575,35.291666666666664,40.30666666666667
2024/3/2,Saturday,83.12333333333333,75.8325,56.96375,84.79833333333333,83.17999999999999
2024/3/3,Sunday,56.49083333333334,50.957499999999996,46,67.43833333333333,65.33333333333333
2024/3/4,Monday,56.01000000000001,53.760000000000005,51.723749999999995,60.23333333333334,59.11000000000001
2024/3/5,Tuesday,76.40916666666665,73.91499999999999,73.77625,75.06333333333335,78.54
2024/3/6,Wednesday,59.25416666666667,40.375,43.11750000000001,54.938333333333325,63.82
2024/3/7,Thursday,65.155,40.595,50.35125,75.97166666666668,59.54999999999999
2024/3/8,Friday,26.7675,26.1675,25.8275,26.563333333333336,33.193333333333335
2024/3/9,Saturday,63.08166666666667,49.355,51.114999999999995,66.09,59.223333333333336
2024/3/10,Sunday,113.72583333333334,96.3325,106.18375,120.29,103.71
2024/3/11,Monday,78.93083333333334,66,80.17750000000001,89.91000000000001,74.33666666666666
2024/3/12,Tuesday,52.76833333333334,32.58,40.73,73.33333333333334,58.46
2024/3/13,Wednesday,65.0775,49.3325,58.478750000000005,70.335,64.14
2024/3/14,Thursday,61.56916666666666,58.4075,53.25999999999999,73.29333333333334,63.86333333333334
2024/3/15,Friday,110.69749999999999,102.74,109.50125,111.50833333333334,106.5
